"","Cov Empirique","OGK","Online","Offline","Comédiane","Shrinkage"
"2",49,46,43,44,45,44
"5",52,49,44,48,44,44
"10",54,49,49,49,45,45
"15",55,51,50,51,45,44
"20",56,53,50,53,47,47
"25",56,56,53,54,52,52
"30",56,57,53,54,56,56
"40",57,57,53,56,57,57
